variable,section,description,model table equivalent,data type[dimensions],estimated,prior (if estimated),bounds
Nages,data,Number of age classes,-,int,,,
Ldyr,data,Number of years,-,int,,,
lht,data,life history type,-,int,,,
hatchsurv,data,survival of hatchery releases,HatchSurv,real,,,
ssum,data,early summer survival before spawning,Msum,real,,,
fhist,data,base historical instantaneous fishing rate,Fhist,real,,,
bmatt,data,mean of prior for average maturation rate for each age class across years,mato,vector[6],,,
fec,data,fecundity for each age class,fec,vector[6],,,
vul,data,mean of prior for vulnerability of each age class to fishing mortality,vulo,vector[6],,,
mobase,data,mean (and variance input) of prior for baseline mortality for each age class,mo,vector[6],,,
cwtrelease,data,vector of coded wire tag releases for each year,-,vector[41],,,
cwtesc,data,coded wire tag escapement for each year and brood year corrected for cwt sampling rate cwtExp (in GetData.R),-,"array[41,6]int",,,
cwtcat,data,coded wire tag catch for each year and brood year corrected for cwt sampling rate cwtExp (in GetData.R),-,"array[41,6]int",,,
RelRegF,data,relative trend in fishing mortality over time relative to the estimated base fishing rate - scaling for the fishing mortality because it would be impossible to estimate otherwise,RelRegF,vector[41],,,
obsescape,data,timeseries of observed escapement data,obsS,vector[41],,,
propwildspawn,data,proportion of spawners not taken for broodstock,pwsp,vector[41],,,
hatchrelease,data,timeseries of total smolt releases ,HatchSmolt,vector[42],,,
seal,data,timeseries of seal data ,X,vector[41],,,
hatch,data,timeseries of SOG hatchery release data,X,vector[41],,,
temp,data,timeseries of temperature data,X,vector[41],,,
bigm,data,timeseries of big mammal data,X,vector[41],,,
cwtExp,data,coded wire tag sampling rate = 1/cwtExp,CWTexp,real,,,
so_min,data,"minimum bound for log of the unfished spawning stock size, calculated in GetData.R as log(2.0*max(obsescape)/10000)",so_min,real,,,
so_mu,data,"mean of the prior for log_so, calculated in GetData.R as log(3*max(obsescape)/10000) ",so_mu,real,,,
so_sd,data,"sd of the prior for log_so, set to 0.5 in GetData.R",so_sd,real,,,
maxcr,data,upper bound on compensation ratio cr; set to a value of 10 in GetData.R ,maxcr,real,,,
tiny,data,"tiny number added to help in liklihood calculation for catch, escapement - not exactly sure why",-,real,,,
moaddcwt,transformed data,"negative log of hatchery survival rate, used for plotting first year mortality ",-,real,,,
spawnhist,transformed data,observed escapement data in the first year of the timeseries,-,real,,,
logobsesc,transformed data,log of observed escapement data,log(obsS),vector[41],,,
logit_bmatt,transformed data,"logit of bmatt, prior for mean maturation rate for each age class",-,vector[4],,,
cr,parameters,log of compensation ratio,cr,real,T,"uniform(1,10)","lower = 1, upper = maxcr"
log_so,parameters,log of unfished spawning stock size (so),so,real,T,"normal(so_mu, so_sd)",lower = so_min
Mseal,parameters,effect of seal predation on baseline mortality,Mx,real,T,"uniform(0,10)","lower = 0, upper = 10"
Mhatch,parameters,effect of SOG hatchery releases on baseline mortality,Mx,real,T,"uniform(0,10)","lower = 0, upper = 10"
Mtemp,parameters,effect of sea surface temperature on baseline mortality,Mx,real,T,"uniform(-10,10)","lower = -10, upper = 10"
Mbigm,parameters,effect of big marine mammales (sealions and whales?) on baseline mortality,Mx,real,T,"uniform(0,10)","lower = 0, upper = 10"
mo1est,parameters,"estimated baseline mortality,  for age 1 fish, due to factors that are not expected to change over time",Mo[1],real,T,"normal(mobase, 2*mobase)","lower = 0, upper = 10"
mo2pest,parameters,"estimated baseline mortality,  for age 2 and greater fish, due to factors that are not expected to change over time",Mo[2],real,T,"normal(mobase, 2*mobase)","lower = 0, upper = 10"
logit_vulest,parameters,estimated vulnerability parameter in logit space ,-,vector[2],T,"normal(logit(vul), 0.5*abs(logit(vul)))","lower = -5, upper = 5"
Fbase,parameters,estimated base fishing mortality prior to 1980,Fbase,real,T,"uniform(0,10)","lower = 0, upper = 10"
wt,parameters,random effect on freshwater mortality rate (egg-smolt mortality rate),wfw,vector[41],T,"normal(0, wt_sd)","lower = -3, upper = 3"
wto,parameters,random effect in mortality rate that is assumed to be non-zero only for ocean age 1 ,wo,vector[41],T,"normal(0, wto_sd)","lower = -3, upper = 3"
fanomaly,parameters,random effect on fishing mortality rate,wf,vector[41],T,"normal(0, wf_sd)","lower = -3, upper = 3"
lnS_sd,parameters,standard deviation for prior on escapement predictions ,lnS_sd,real,T,"gamma(2, 5) ",-
wt_sd,parameters,standard deviation for prior on egg-smolt mortality rate annual anomalies,wfw_sd,real,T,"gamma(2, 5) ",-
wto_sd,parameters,standard deviation in age 1 ocean mortality rate annual anomalies,wo_sd,real,T,"gamma(2, 5) ",-
fanomaly_sd,parameters,standard deviation in annual fishing mortality rate anomalies,wf_sd,real,T,"gamma(2, 5) ",-
logit_matt,parameters,estimated maturation rate for ages 2:5 for each year,logit_matt,vector[4],T,"normal(est_logit_bmatt, mat_sd)",-
est_logit_bmatt,parameters,estimated mean maturity in logit space for ages 2:5 across all years,logit_matb,vector[4],T,"normal(logit_bmatt, 2*abs(logit_bmatt))",-
